"filename", "language", "JavaScript", "JSON with Comments", "JSON", "PostCSS", "Python", "Markdown", "XML", "pip requirements", "comment", "blank", "total"
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 14, 37
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\app.py", "Python", 0, 0, 0, 0, 163, 0, 0, 0, 472, 19, 654
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\career_chatbot.py", "Python", 0, 0, 0, 0, 92, 0, 0, 0, 10, 18, 120
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\career_guidance_system.py", "Python", 0, 0, 0, 0, 141, 0, 0, 0, 12, 20, 173
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\demo.ipynb", "JSON", 0, 0, 823, 0, 0, 0, 0, 0, 0, 1, 824
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\main.py", "Python", 0, 0, 0, 0, 46, 0, 0, 0, 0, 14, 60
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 11, 1, 0, 12
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\career\temp.py", "Python", 0, 0, 0, 0, 350, 0, 0, 0, 25, 52, 427
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\check_path.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 20, 10, 53
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\chat.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\embedding.py", "Python", 0, 0, 0, 0, 25, 0, 0, 0, 3, 3, 31
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\fetch_data.py", "Python", 0, 0, 0, 0, 88, 0, 0, 0, 24, 12, 124
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\history.py", "Python", 0, 0, 0, 0, 28, 0, 0, 0, 3, 7, 38
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\main.py", "Python", 0, 0, 0, 0, 81, 0, 0, 0, 6, 13, 100
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\main_mcq.py", "Python", 0, 0, 0, 0, 85, 0, 0, 0, 6, 21, 112
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\mcq.py", "Python", 0, 0, 0, 0, 69, 0, 0, 0, 23, 9, 101
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\notes_videos.py", "Python", 0, 0, 0, 0, 60, 0, 0, 0, 11, 9, 80
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\pdf_maker.py", "Python", 0, 0, 0, 0, 42, 0, 0, 0, 9, 9, 60
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\processes.py", "Python", 0, 0, 0, 0, 52, 0, 0, 0, 48, 9, 109
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\doubt-solving\syllabus_results.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\flashcards-mindmap\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\flashcards-mindmap\main.py", "Python", 0, 0, 0, 0, 61, 0, 0, 0, 10, 17, 88
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\flashcards-mindmap\mindmap.py", "Python", 0, 0, 0, 0, 86, 0, 0, 0, 2, 18, 106
"c:\Users\Tejas\Desktop\Tejas\GitHub\studymate\ai_code\flashcards-mindmap\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
